,intensity,class,HARP,Time,USFLUX,MEANGAM,MEANGBT,MEANGBH,MEANGBZ,MEANJZD,TOTUSJZ,MEANALP,TOTUSJH,SAVNCPP,MEANPOT,MEANSHR
2870,110.0,B,HARP7262,flare_2018.05.27_09:44:00,1.3683119555893796e+18,0.03525308426663644,0.015274555276403015,0.026813209169020084,0.029846767749351702,0.0010043701100759042,6571396449.547724,-2.7645600570301703,0.10062587549673263,4469847098.084221,1.073293643705749,0.03912801668879667
2871,110.0,B,HARP7262,flare_2018.05.27_17:48:00,3.730699069665064e+18,0.09115569111018283,0.041457059783059684,0.06268515724429098,0.06750318102943997,0.0025501261160478677,20158122400.598305,-10.678772573367553,0.3812950383529909,13314991268.535587,3.5455521187708565,0.09405864307504076
2872,110.0,B,HARP7262,flare_2018.05.27_18:52:00,4.5951410527153705e+18,0.10352324766041555,0.05299307489243787,0.081725017111517,0.08037945886055048,0.003919795163486277,25947193711.747604,-11.23401580488593,0.48878923371420663,21064319877.568413,3.967409644319878,0.10899969419199095
2873,140.0,B,HARP7262,flare_2018.05.28_14:30:00,8.029062351886592e+18,0.14417519788863764,0.09033077409613455,0.10358413192543477,0.14511880418879083,-0.00570490725862837,34610977801.56205,-86.56794628198872,1.5126049478412849,26981287812.99506,20.07900756526198,0.1289777479783458
2874,700.0,B,HARP7262,flare_2018.05.28_16:36:00,8.595858466126532e+18,0.16012905038828254,0.10387018759380293,0.128790375753246,0.1632223049844785,-0.0034229031393583926,42733459132.5983,-82.07266800223863,1.758517283648747,17221665113.909527,23.450069758495417,0.14080811729142612
2875,200.0,B,HARP7262,flare_2018.05.28_18:57:00,3.124570998338889e+18,0.09921744161688341,0.058243168379241934,0.06743452917733204,0.06750044520945336,8.808143159870346e-05,18330078784.885025,-22.390382676552566,0.6374300282005106,378040368.974245,12.262130766334794,0.09026088157679639
2876,169.99999999999997,B,HARP7262,flare_2018.05.28_20:54:00,5.241405277716252e+18,0.13647915297420796,0.07074083059406376,0.09034662446171851,0.0962091574808947,0.0009107288500718432,26694902717.45996,-24.090401145657324,0.9328222312450299,4172889477.113146,15.158543036855054,0.1249920333840666
2877,270.0,B,HARP7262,flare_2018.05.29_00:40:00,3.0840528205383834e+18,0.0949484792011435,0.04744865330129577,0.059623595585789876,0.05820406703898461,0.0037647281875646563,17950200222.287323,12.784073282545192,0.4962119173738301,16578817317.29607,10.502238575357119,0.09161463242010942
2878,120.0,B,HARP7262,flare_2018.05.29_01:28:00,4.980613999727058e+18,0.1326946730592233,0.0669048015337975,0.08457614070032511,0.08897242385887665,0.00493022198820123,26735270028.982933,18.86389650495935,0.7946178558800884,21672603118.517014,17.711684034069656,0.12734502131603984
2879,100.0,B,HARP7262,flare_2018.05.29_16:21:00,1.818196146153898e+18,0.09438033175999566,0.0370386646991667,0.045812423008032316,0.05143269416413932,0.0001229229090085432,12872790091.23497,-6.648494236571548,0.2843755727382988,5769599792.673962,8.272114031537097,0.08325637425877863
2880,499.99999999999994,B,HARP7262,flare_2018.05.31_01:08:00,1.7825387842932032e+16,0.003292889190290168,0.0012071354247999387,0.001542881160448037,0.0014188258015122197,-5.9906775146373065e-05,178443949.61567655,0.042451718443283305,0.0025648676189428503,112332891.9952397,0.11830095341606814,0.003134433549129318
2881,220.0,B,HARP7262,flare_2018.05.31_04:34:00,1.5394457337974057e+18,0.09468338773402543,0.04316568351677719,0.05709932766056913,0.05221102265980419,0.0009057370544652542,11407758119.044834,-0.8669627061209076,0.24417794128688408,3070379581.970991,4.989123611377579,0.08906212775527454
2882,200.0,B,HARP7262,flare_2018.05.31_06:58:00,3.149869399084849e+17,0.03751547456840702,0.012223356366094876,0.014813981290681772,0.011575425237157997,0.00022397655686168317,3386017901.180263,1.4659124790246305,0.04423765233208337,1811687482.2947838,1.2145810366799368,0.035023295021588116
2883,130.0,B,HARP7262,flare_2018.05.31_08:45:00,8.104732280589664e+16,0.01277599214095734,0.003188773352844007,0.0037192338841539074,0.0031686768914338946,3.409282327412725e-05,830148070.7949951,0.05548113091293605,0.007464824126601534,116857314.09324393,0.37615626164933214,0.012484956148702783
2884,260.0,B,HARP7262,flare_2018.05.31_10:58:00,7.964418037522933e+16,0.012244695798824182,0.0036440923050013443,0.004389809464823165,0.0038638479267795183,0.00012495863393775834,905703540.4497014,-0.2296723545152246,0.008759846005384231,366986230.439299,0.41333422082637633,0.011968527713313457
2885,189.99999999999997,B,HARP7262,flare_2018.05.31_16:13:00,3.5319066483868356e+16,0.008751833910889177,0.002402308991624295,0.0026209117084078086,0.0024481033351760727,0.00018368914649383557,508783299.72754663,-0.24737699035178368,0.004755305244936994,463185130.07239556,0.3118850376409357,0.008125739882636086
2886,120.0,B,HARP7262,flare_2018.05.31_21:09:00,6213241409353674.0,0.0027182786041514127,0.0007143903751941186,0.0007734151006932576,0.00040358386310669804,2.493829597660592e-05,168406441.7578692,0.03158663735892064,0.000577359621430363,61992513.03391804,0.029722608023243946,0.002632188640922944
2887,130.0,B,HARP7262,flare_2018.05.31_21:43:00,3698389155648478.0,0.0021748381755749015,0.0005231897361146216,0.0005890323301802978,0.000296075330801694,2.95122278329044e-05,109173226.4516071,0.014334672864237208,0.0003902630364058279,63015071.763122335,0.019371182393279885,0.00215891770344173
2888,280.0,B,HARP7262,flare_2018.05.31_23:02:00,2235513048389053.5,0.0015622329338558863,0.000382656461725556,0.00039957987407747994,0.0001786755301540862,1.120095948055801e-05,83466935.05575767,0.0002640897261398225,0.00019575296538073677,28198868.54190083,0.011441314445901374,0.0015210656689264815
2889,209.99999999999997,B,HARP7262,flare_2018.06.01_05:04:00,5.053279664520151e+17,0.02840789781021565,0.015048345975812727,0.017849913492764918,0.015697625233905808,0.0005807780417717783,4923343059.6392565,1.512491583183672,0.10951704429927808,2655008235.8373785,2.2178358546795014,0.027131521730379606
2890,280.0,B,HARP7262,flare_2018.06.01_06:10:00,6.093663361298877e+17,0.03245320580340353,0.015095671694045637,0.019151778700977687,0.017898998524571653,0.0006773531937954166,5084055510.289039,-0.016072248677287657,0.11815034010819783,3054274332.6213856,2.3740048405622747,0.031122222776065175
