,intensity,class,HARP,Time,USFLUX,MEANGAM,MEANGBT,MEANGBH,MEANGBZ,MEANJZD,TOTUSJZ,MEANALP,TOTUSJH,SAVNCPP,MEANPOT,MEANSHR
488,13000.000000000002,M,HARP667,flare_2011.06.14_21:47:00,2.0577182372457976e+21,1.0901468070163238,0.5623316083055407,1.6232531727177724,1.7886100528884394,-0.010924748613518045,2152404000212.224,44.44536479135007,154.33202868885508,518036638918.1638,433.9028407713749,1.392010211654169
489,10000.0,M,HARP6870,flare_2016.11.29_17:23:00,1.3954991382369657e+20,0.6612642605799036,0.43599294546475637,0.7845150324228312,0.9688219281199305,-0.0006772844103882617,420178912733.68854,-202.6522873402103,18.695158355776332,100918618083.86986,133.0746257535329,0.7573675538851488
490,12000.0,M,HARP6870,flare_2016.11.29_23:38:00,2.088395825438021e+20,0.7873722038329153,0.8084864307581323,1.2889704102269632,1.5439263257431692,0.017589036862143692,668983934923.1587,-537.9238182041283,38.567064232783665,279903311808.3022,209.43037977181316,0.9160845355531523
491,44000.00000000001,M,HARP6972,flare_2017.04.01_21:48:00,6.889285131126469e+18,0.06474503676278826,0.029148924601242396,0.04563491897284454,0.047724055186135206,-0.0008784568458412515,39579285663.24333,3.0668380753111197,0.8465815746858837,12861772285.888233,4.147568740243041,0.07737639578207631
492,53000.0,M,HARP6972,flare_2017.04.02_08:02:00,3.495141353181409e+20,0.6477847005880885,0.46542357946439206,0.7085669873957919,0.8848843554588139,-0.0022369934904725385,1344923353568.8115,416.67974939187644,59.57831193421931,754597920423.2998,120.17552945879412,0.7136917038674384
493,22999.999999999996,M,HARP6972,flare_2017.04.02_13:00:00,6.002839056336042e+20,0.7806887349829675,0.6006421240504741,0.917309128798055,1.1718392490603018,-0.005344658927511575,1799876404104.9067,480.3257525974272,89.24897147163885,694174285773.9998,164.47940290487668,0.866846707127963
494,21000.0,M,HARP6972,flare_2017.04.02_18:38:00,6.888029033468367e+20,0.9541142734518758,0.7036156270236046,1.0727913874578243,1.4064237981385344,0.0015435810512188447,2061351961809.8252,525.3114322457172,99.12710213254947,1291466424703.0469,250.73740714685275,1.0414988497143818
495,57000.00000000001,M,HARP6972,flare_2017.04.02_20:33:00,5.845182988080424e+20,0.9106656525059352,0.6536201708730682,0.96786717995763,1.3197239895156305,0.013394236446154643,1786592732260.3054,560.1455179623482,88.60485274871444,1343695566808.0173,255.84825008554571,0.9705878116705988
496,12000.0,M,HARP6972,flare_2017.04.03_01:05:00,8.703194869420231e+20,0.9992540089700341,0.7263687617939887,1.0909117033779765,1.5076297707406818,0.01950358108437684,2443207749391.1387,183.72482344220512,133.09851933037172,627589934455.2917,337.4029005716868,1.1009825066173535
497,58000.0,M,HARP6972,flare_2017.04.03_14:29:00,2.0188450453744286e+21,1.5807589708215581,1.2547327066658265,2.0552257740655615,3.037161530962307,0.013297225387655312,5026342457830.996,794.3722815983814,322.95242012895596,1404841469833.7756,795.7408700484036,1.7784990004076449
